Symbol,Date,Open,High,Low,Close,Volume
AABB.OB,02-Jul-2021,0.1121,0.116,0.1101,0.115,7981500
AABVF.OB,02-Jul-2021,0.2311,0.2446,0.2311,0.2377,34200
AACAY.OB,02-Jul-2021,7.51,7.51,7.15,7.285,5600
AACS.OB,02-Jul-2021,0.0035,0.0035,0.0014,0.0017,33669500
AACTF.OB,02-Jul-2021,0.22,0.2245,0.2111,0.2111,45600
AAGC.OB,02-Jul-2021,0.0015,0.0016,0.0014,0.0015,3766300
AAGFF.OB,02-Jul-2021,0.431,0.4381,0.4283,0.4337,59300
AAGH.OB,02-Jul-2021,0.1655,0.1798,0.145,0.1698,93000
AAGIY.OB,02-Jul-2021,49.03,49.96,49.03,49.9,137600
AAIGF.OB,02-Jul-2021,12.06,12.67,12.06,12.54,93000
AAIRF.OB,02-Jul-2021,0.0989,0.1009,0.095,0.0993,106400
AAMAF.OB,02-Jul-2021,0.495,0.551,0.49,0.551,169800
AAMMF.OB,02-Jul-2021,0.24,0.255,0.2251,0.24,56300
AAMTF.OB,02-Jul-2021,0.191,0.1911,0.19,0.19,36100
AAPT.OB,02-Jul-2021,0.0068,0.0068,0.0064,0.0067,14972400
AASZF.OB,02-Jul-2021,10.752,10.752,10.75,10.752,600
AATRL.OB,02-Jul-2021,60.5,61,60,61,3000
AAUKF.OB,02-Jul-2021,40.595,41.4,40.595,40.595,3200
AAVMY.OB,02-Jul-2021,12.11,12.11,12.045,12.05,2900
AAVVF.OB,02-Jul-2021,4.07,4.1395,4.002,4.01,34300
AAZZF.OB,02-Jul-2021,3.23,3.2409,3.125,3.1971,23900
ABBRF.OB,02-Jul-2021,0.464,0.487,0.4321,0.486,621700
ABBY.OB,02-Jul-2021,0.0055,0.0055,0.0055,0.0055,300
ABCE.OB,02-Jul-2021,0.0313,0.0315,0.03,0.0315,473400
ABCFF.OB,02-Jul-2021,0.126,0.1295,0.1214,0.129,49000
ABEPF.OB,02-Jul-2021,0.1145,0.1145,0.104,0.112,280600
ABIT.OB,02-Jul-2021,1.51,1.85,1.5,1.77,15700
ABLZF.OB,02-Jul-2021,34.18,34.7,34.18,34.7,14400
ABMBF.OB,02-Jul-2021,0.1097,0.1097,0.1097,0.1097,8300
ABMC.OB,02-Jul-2021,0.0595,0.0644,0.0566,0.0639,49600
ABML.OB,02-Jul-2021,2,2,1.85,1.87,3207600
ABNAF.OB,02-Jul-2021,0.0512,0.0574,0.048,0.05,81700
ABQQ.OB,02-Jul-2021,0.0593,0.0613,0.058,0.0599,901000
ABRUF.OB,02-Jul-2021,1,1,1,1,5000
ABSSF.OB,02-Jul-2021,28.31,28.31,27.65,27.65,800
ABTI.OB,02-Jul-2021,2.62,2.62,2.5,2.5,200
ABVC.OB,02-Jul-2021,5,5.1,4.5,4.5,900
ABVG.OB,02-Jul-2021,0.0003,0.0003,0.0002,0.0003,29405400
ABWN.OB,02-Jul-2021,0.0004,0.0005,0.0004,0.0004,47744000
ABXXF.OB,02-Jul-2021,2.85,2.85,2.8,2.83,18000
ACAI.OB,02-Jul-2021,0.49,0.49,0.49,0.49,3000
ACAN.OB,02-Jul-2021,1.1,1.105,1.07,1.085,1900
ACAZF.OB,02-Jul-2021,15.9,15.9495,15.73,15.75,4400
ACCA.OB,02-Jul-2021,0.01,0.0103,0.01,0.01,56200
ACCMF.OB,02-Jul-2021,0.3775,0.415,0.37,0.3791,230200
ACCR.OB,02-Jul-2021,0.012,0.012,0.01,0.0115,462300
ACCYY.OB,02-Jul-2021,7.48,7.52,7.47,7.49,20200
ACDSF.OB,02-Jul-2021,2.25,2.25,2.21,2.21,4100
ACDVF.OB,02-Jul-2021,20.65,21.01,20.37,21.01,47500
ACFN.OB,02-Jul-2021,0.5903,0.6275,0.59,0.6022,45600
ACGBY.OB,02-Jul-2021,8.83,8.83,8.6,8.685,27200
ACGI.OB,02-Jul-2021,0.0008,0.0008,0.0008,0.0008,230100
ACGX.OB,02-Jul-2021,0.31,0.31,0.31,0.31,2000
ACHFF.OB,02-Jul-2021,1.07,1.09,1.0696,1.07,7300
ACKAY.OB,02-Jul-2021,18.59,18.59,18.59,18.59,200
ACKRF.OB,02-Jul-2021,0.1811,0.183,0.1811,0.183,1500
ACLHF.OB,02-Jul-2021,0.6499,0.6517,0.62,0.62,1800
ACLLF.OB,02-Jul-2021,35.315,35.346,35.266,35.346,1100
ACMC.OB,02-Jul-2021,1.35,1.35,1.35,1.35,5400
ACNNF.OB,02-Jul-2021,0.0777,0.0794,0.0777,0.0794,200
ACNV.OB,02-Jul-2021,0.0049,0.008,0.0049,0.008,1200
ACOPF.OB,02-Jul-2021,4.75,4.89,4.75,4.89,6100
ACOPY.OB,02-Jul-2021,4.8,4.91,4.71,4.81,7600
ACPGF.OB,02-Jul-2021,2.95,2.95,2.95,2.95,16400
ACPRF.OB,02-Jul-2021,0.0767,0.0767,0.0767,0.0767,1200
ACRDF.OB,02-Jul-2021,2.16,2.2,2.15,2.15,34200
ACRHF.OB,02-Jul-2021,3.58,3.795,3.55,3.6,56800
ACRL.OB,02-Jul-2021,0.025,0.0318,0.0233,0.031,1412500
ACSAY.OB,02-Jul-2021,5.444,5.46,5.4275,5.44,27500
ACTL.OB,02-Jul-2021,0.0013,0.0013,0.0007,0.001,18470900
ACTX.OB,02-Jul-2021,2.55,2.56,2.5,2.55,1800
ACUR.OB,02-Jul-2021,0.6,0.65,0.6,0.6225,14200
ACUS.OB,02-Jul-2021,0.025,0.025,0.025,0.025,500
ACWRF.OB,02-Jul-2021,0.2491,0.2491,0.2491,0.2491,100
ACXIF.OB,02-Jul-2021,154.79,154.79,154.79,154.79,100
ADBRF.OB,02-Jul-2021,0.48,0.5,0.48,0.5,22600
ADCOF.OB,02-Jul-2021,1.028,1.04,1.028,1.04,3800
ADCV.OB,02-Jul-2021,0.6,0.6,0.6,0.6,600
ADDDF.OB,02-Jul-2021,372.43,376.73,372.43,376.704,100
ADDYY.OB,02-Jul-2021,187.55,188.65,186.45,187.69,31500
ADFS.OB,02-Jul-2021,0.016,0.0165,0.016,0.016,491500
ADGO.OB,02-Jul-2021,0.0004,0.0005,0.0003,0.0005,226417100
ADHC.OB,02-Jul-2021,0.0084,0.0084,0.0076,0.0076,3868800
ADMLF.OB,02-Jul-2021,1.86,1.86,1.83,1.83,9900
ADMQ.OB,02-Jul-2021,0.085,0.0879,0.085,0.0865,31700
ADMT.OB,02-Jul-2021,0.135,0.146,0.131,0.139,45200
ADNY.OB,02-Jul-2021,0.0088,0.0118,0.0088,0.0118,5000
ADOM.OB,02-Jul-2021,0.32,0.328,0.3051,0.3254,1638800
ADOOY.OB,02-Jul-2021,4.449,4.59,4.449,4.5853,1200
ADPXY.OB,02-Jul-2021,20,20,20,20,100
ADRNY.OB,02-Jul-2021,29.76,30.03,29.74,30,67500
ADRZY.OB,02-Jul-2021,10.8,10.8,10.71,10.71,1600
ADSV.OB,02-Jul-2021,0.0165,0.0209,0.0152,0.0205,9301500
ADTM.OB,02-Jul-2021,0.0007,0.0008,0.0007,0.0008,20343600
ADVT.OB,02-Jul-2021,0.0006,0.0006,0.0006,0.0006,4000
ADVZF.OB,02-Jul-2021,0.84,0.8573,0.84,0.8458,6500
ADYEY.OB,02-Jul-2021,49.271,49.7,49.136,49.51,97500
ADYYF.OB,02-Jul-2021,2455,2489.4,2430.08,2478,400
