Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$19.45,0.45,2.368%,39839805.00,United States,,7946,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.541,-0.0127,-2.294%,74236782.00,Canada,2015,429047,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$43.01,-1.48,-3.327%,149826496.00,United States,1988,10847,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$10.62,-0.40,-3.63%,16417288.00,United States,,202853,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.76,0.01,0.103%,140300000.00,,2021,9136,,
AE,Adams Resources & Energy Inc. Common Stock,$29.24,-0.77,-2.566%,124299679.00,United States,,10862,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$9.13,-0.02,-0.219%,463363733.00,United States,,13166,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.53,-0.02,-1.29%,58040685.00,,2018,59214,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.28,0.00,0.00%,90493227.00,United States,,443915,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$24.79,-0.37,-1.471%,74609050.00,United States,2014,35022,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.27,0.02,1.60%,40687685.00,United States,,114243,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.37,0.09,3.947%,55040098.00,China,,138196,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.78,0.02,1.136%,348326648.00,United States,,1175271,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$3.40,0.10,3.03%,19723400.00,United States,,873184,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$91.00,13.11,16.831%,632201479.00,United States,2020,1829962,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$8.23,-0.07,-0.843%,109724426.00,Canada,,120717,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.59,0.34,8.00%,114476629.00,United States,,11318,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.31,-0.02,-1.504%,132137138.00,Canada,,742139,,
ASXC,Asensus Surgical Inc. Common Stock,$3.22,-0.02,-0.617%,750971034.00,United States,,8652787,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.51,0.03,0.354%,171858335.00,United States,,112263,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.72,0.0067,0.939%,116978121.00,United States,,472816,,
AWX,Avalon Holdings Corporation Common Stock,$4.62,0.0373,0.814%,18015371.00,United States,,40090,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.94,-0.05,-1.672%,418855256.00,Canada,,708289,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$13.26,0.60,4.739%,215708336.00,,,16390,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.59,0.29,0.927%,174306860.00,United States,,6395,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.77,0.02,0.078%,,United States,,5828,,
BDL,Flanigan's Enterprises Inc. Common Stock,$34.50,0.2499,0.73%,64123322.00,United States,,4937,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.30,-0.06,-4.412%,15548657.00,United States,,121354,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$2.82,-0.32,-10.191%,50677884.00,Canada,,1128345,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.38,0.45,1.555%,439974314.00,United States,,21821,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$3.15,-0.06,-1.869%,39489884.00,United States,,103728,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$14.04,-0.33,-2.296%,171293307.00,,2018,56826,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$17.08,0.14,0.826%,477080166.00,,,75076,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$10.10,0.03,0.298%,285752573.00,,2014,340991,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.64,-0.01,-0.039%,,,,2137,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.31,-0.09,-0.354%,,,,1500,,
BRN,Barnwell Industries Inc. Common Stock,$3.05,0.01,0.329%,25245338.00,United States,,223365,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.93,-0.06,-1.202%,5186107234.00,Canada,,6026544,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$4.70,-0.23,-4.665%,86017257.00,United States,,154174,Miscellaneous,Industrial Machinery/Components
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$14.30,-0.45,-3.051%,610390895.00,United States,,1440261,,
BWL/A,Bowl America Inc.,$8.89,0.0561,0.635%,,United States,,243,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.25,0.02,0.897%,38680972.00,Israel,,93662,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$101.28,0.18,0.178%,956931015.00,United States,,9215,Basic Industries,Paints/Coatings
CDOR,Condor Hospitality Trust Inc. Common Stock,$4.89,-0.08,-1.61%,58811786.00,United States,,12738,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$0.69,0.0202,3.016%,29015038.00,United States,,6479107,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$41.9026,-0.3124,-0.74%,1099541111.00,United States,,11066,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.69,-0.09,-0.653%,97658642.00,United States,1999,17649,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.02,0.02,0.20%,107998616.00,,2020,6625,,
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.9001,0.0101,0.102%,118147793.00,,2021,3111,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.49,-0.05,-1.412%,182544202.00,United States,,1923518,,
CIX,CompX International Inc. Common Stock,$22.03,1.03,4.905%,273197489.00,United States,1998,8756,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$13.225,0.00,0.00%,25689496.00,United States,,22,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$11.57,0.02,0.173%,898670073.00,United States,1987,1359801,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$13.94,0.00,0.00%,168936393.00,Canada,,57426,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$13.30,0.18,1.372%,112843544.00,United States,,44617,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$23.93,0.56,2.396%,31755995.00,United States,,280008,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.7067,-0.0133,-1.847%,30797673.00,China,,516584,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$43.22,0.15,0.348%,20919392936.00,United States,2007,193007,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$11.27,0.03,0.267%,462561462.00,United States,,535999,,
CTEK,CynergisTek Inc. Common Stock,$2.03,-0.26,-11.354%,24605017.00,United States,2017,285315,Technology,Retail: Computer Software & Peripheral Equipment
CVM,Cel-Sci Corporation Common Stock,$22.21,0.06,0.271%,913476534.00,United States,,717926,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$25.98,-0.17,-0.65%,25100109.00,United States,,2048,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.85,0.02,0.522%,47086605.00,United States,,26229,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.52,-0.02,-0.787%,260838653.00,United States,1998,429372,,
DIT,AMCON Distributing Company Common Stock,$139.0586,0.8036,0.581%,76672601.00,United States,,308,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$30.10,-0.07,-0.232%,209937266.00,United States,,13049,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.11,-0.04,-0.437%,189050784.00,United States,1988,18163,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.41,0.00,0.00%,1134916658.00,Canada,,4253042,Basic Industries,Other Metals and Minerals
DPW,Ault Global Holdings Inc. Common Stock,$3.03,0.09,3.061%,150816850.00,United States,,3891032,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$2.96,0.03,1.024%,98035570.00,United States,,404032,Consumer Services,Recreational Products/Toys
