rank,name,ticker,mkt_cap
1,Bitcoin,BTC,$726.80B
2,Ethereum,ETH,$288.73B
3,Tether,USDT,$62.62B
4,Binance Coin,BNB,$55.69B
5,Cardano,ADA,$49.30B
6,Dogecoin,DOGE,$42.08B
7,XRP,XRP,$40.36B
8,USD Coin,USDC,$23.65B
9,Polkadot,DOT,$20.89B
10,Uniswap,UNI,$13.07B
11,Bitcoin Cash,BCH,$11.36B
12,Litecoin,LTC,$11.28B
13,Solana,SOL,$10.69B
14,Chainlink,LINK,$9.95B
15,Binance USD,BUSD,$9.58B
16,Polygon,MATIC,$9.08B
17,THETA,THETA,$8.79B
18,Internet Computer,ICP,$8.24B
19,Stellar,XLM,$7.92B
20,Wrapped Bitcoin,WBTC,$7.33B
21,VeChain,VET,$7.25B
22,Ethereum Classic,ETC,$6.79B
23,Filecoin,FIL,$5.73B
24,Dai,DAI,$5.23B
25,TRON,TRX,$5.09B
26,EOS,EOS,$4.80B
27,Monero,XMR,$4.63B
28,Aave,AAVE,$3.91B
29,Kusama,KSM,$3.71B
30,Neo,NEO,$3.42B
31,Algorand,ALGO,$3.25B
32,Bitcoin SV,BSV,$3.16B
33,Maker,MKR,$3.09B
34,FTX Token,FTT,$3.08B
35,Crypto.com Coin,CRO,$3.05B
36,PancakeSwap,CAKE,$3.05B
37,IOTA,MIOTA,$3.01B
38,Theta Fuel,TFUEL,$2.91B
39,Bitcoin BEP2,BTCB,$2.84B
40,Tezos,XTZ,$2.78B
41,SHIBA INU,SHIB,$2.71B
42,UNUS SED LEO,LEO,$2.63B
43,Cosmos,ATOM,$2.60B
44,Avalanche,AVAX,$2.55B
45,Terra,LUNA,$2.54B
46,Klaytn,KLAY,$2.50B
47,Huobi Token,HT,$2.40B
48,BitTorrent,BTT,$2.34B
49,TerraUSD,UST,$1.90B
50,Decred,DCR,$1.80B
51,THORChain,RUNE,$1.75B
52,Dash,DASH,$1.74B
53,Compound,COMP,$1.69B
54,Hedera Hashgraph,HBAR,$1.68B
55,Celsius,CEL,$1.67B
56,Telcoin,TEL,$1.65B
57,Chiliz,CHZ,$1.63B
